time(hour)	isotherm(m)
0.00000000 0.01514
0.08333333 0.04514
0.16666667 0.07490
0.25000000 0.10372
0.33333333 0.13091
0.41666667 0.15637
0.50000000 0.18020
0.58333333 0.20228
0.66666667 0.22209
0.75000000 0.23977
0.83333333 0.25516
0.91666667 0.27800
1.00000000 0.29818
1.08333333 0.30568
1.16666667 0.31041
1.25000000 0.32221
1.33333333 0.33106
1.41666667 0.33690
1.50000000 0.34956
1.58333333 0.34917
1.66666667 0.33609
1.75000000 0.32043
1.83333333 0.30183
1.91666667 0.28048
2.00000000 0.25685
2.08333333 0.24103
2.16666667 0.22375
2.25000000 0.19531
2.33333333 0.17006
2.41666667 0.14819
2.50000000 0.12522
2.58333333 0.10606
2.66666667 0.09083
2.75000000 0.07495
2.83333333 0.05855
2.91666667 0.04179
3.00000000 0.02012
3.08333333 -0.01112
3.16666667 -0.04197
3.25000000 -0.06725
3.33333333 -0.09635
3.41666667 -0.11964
3.50000000 -0.14216
3.58333333 -0.17307
3.66666667 -0.20217
3.75000000 -0.22920
3.83333333 -0.25396
3.91666667 -0.27625
4.00000000 -0.29588
4.08333333 -0.31272
4.16666667 -0.32664
4.25000000 -0.33754
4.33333333 -0.34536
4.41666667 -0.35037
4.50000000 -0.35255
4.58333333 -0.35159
4.66666667 -0.34754
4.75000000 -0.34046
4.83333333 -0.33044
4.91666667 -0.31759
5.00000000 -0.30246
5.08333333 -0.28479
5.16666667 -0.26478
5.25000000 -0.24301
5.33333333 -0.21930
5.41666667 -0.19365
5.50000000 -0.16628
5.58333333 -0.13771
5.66666667 -0.10874
5.75000000 -0.07962
5.83333333 -0.05027
5.91666667 -0.02093
6.00000000 0.00850
6.08333333 0.03701
6.16666667 0.06406
6.25000000 0.09029
6.33333333 0.11548
6.41666667 0.13932
6.50000000 0.16163
6.58333333 0.18231
6.66666667 0.20045
6.75000000 0.21579
6.83333333 0.22903
6.91666667 0.24012
7.00000000 0.24898
7.08333333 0.25556
7.16666667 0.25914
7.25000000 0.25972
7.33333333 0.25800
7.41666667 0.25350
7.50000000 0.24532
7.58333333 0.23408
7.66666667 0.22056
7.75000000 0.20490
7.83333333 0.18758
7.91666667 0.16877
8.00000000 0.14897
8.08333333 0.12836
8.16666667 0.10681
8.25000000 0.08485
8.33333333 0.06265
8.41666667 0.04011
8.50000000 0.01743
8.58333333 -0.00519
8.66666667 -0.02756
8.75000000 -0.04947
8.83333333 -0.07074
8.91666667 -0.09118
9.00000000 -0.11127
9.08333333 -0.13083
9.16666667 -0.14906
9.25000000 -0.16579
9.33333333 -0.18132
9.41666667 -0.19552
9.50000000 -0.20786
9.58333333 -0.21824
9.66666667 -0.22660
9.75000000 -0.23289
9.83333333 -0.23705
9.91666667 -0.23908
10.00000000 -0.23899
10.08333333 -0.23678
10.16666667 -0.23250
10.25000000 -0.22621
10.33333333 -0.21798
10.41666667 -0.20791
10.50000000 -0.19609
10.58333333 -0.18265
10.66666667 -0.16731
10.75000000 -0.15048
10.83333333 -0.13289
10.91666667 -0.11445
11.00000000 -0.09518
11.08333333 -0.07524
11.16666667 -0.05506
11.25000000 -0.03482
11.33333333 -0.01511
11.41666667 0.00405
11.50000000 0.02418
11.58333333 0.04465
11.66666667 0.06422
11.75000000 0.08304
11.83333333 0.10095
11.91666667 0.11780
12.00000000 0.13345
12.08333333 0.14778
12.16666667 0.16066
12.25000000 0.17201
12.33333333 0.18204
12.41666667 0.19068
12.50000000 0.19756
12.58333333 0.20263
12.66666667 0.20555
12.75000000 0.20558
12.83333333 0.20291
12.91666667 0.19822
13.00000000 0.19172
13.08333333 0.18369
13.16666667 0.17437
13.25000000 0.16374
13.33333333 0.15177
13.41666667 0.13857
13.50000000 0.12426
13.58333333 0.10919
13.66666667 0.09434
13.75000000 0.07966
13.83333333 0.06484
13.91666667 0.05003
14.00000000 0.03492
14.08333333 0.01964
14.16666667 0.00434
14.25000000 -0.01087
14.33333333 -0.02627
14.41666667 -0.04129
14.50000000 -0.05537
14.58333333 -0.06817
14.66666667 -0.07920
14.75000000 -0.08906
14.83333333 -0.09803
14.91666667 -0.10514
15.00000000 -0.11034
15.08333333 -0.11451
15.16666667 -0.11831
15.25000000 -0.12102
15.33333333 -0.12263
15.41666667 -0.12303
15.50000000 -0.12156
15.58333333 -0.11903
15.66666667 -0.11548
15.75000000 -0.11093
15.83333333 -0.10545
15.91666667 -0.09827
16.00000000 -0.08948
16.08333333 -0.08001
16.16666667 -0.06996
16.25000000 -0.05891
16.33333333 -0.04696
16.41666667 -0.03470
16.50000000 -0.02225
16.58333333 -0.00973
16.66666667 0.00229
16.75000000 0.01368
16.83333333 0.02485
16.91666667 0.03569
17.00000000 0.04611
17.08333333 0.05652
17.16666667 0.06674
17.25000000 0.07627
17.33333333 0.08511
17.41666667 0.09312
17.50000000 0.10023
17.58333333 0.10639
17.66666667 0.11155
17.75000000 0.11568
17.83333333 0.11875
17.91666667 0.12083
18.00000000 0.12191
18.08333333 0.12233
18.16666667 0.12224
18.25000000 0.12075
18.33333333 0.11775
18.41666667 0.11388
18.50000000 0.10905
18.58333333 0.10315
18.66666667 0.09628
18.75000000 0.08863
18.83333333 0.08052
18.91666667 0.07192
19.00000000 0.06263
19.08333333 0.05286
19.16666667 0.04273
19.25000000 0.03205
19.33333333 0.02055
19.41666667 0.00844
19.50000000 -0.00366
19.58333333 -0.01566
19.66666667 -0.02693
19.75000000 -0.03737
19.83333333 -0.04738
19.91666667 -0.05648
20.00000000 -0.06460
20.08333333 -0.07207
20.16666667 -0.07884
20.25000000 -0.08524
20.33333333 -0.09083
20.41666667 -0.09517
20.50000000 -0.09816
20.58333333 -0.09978
20.66666667 -0.09982
20.75000000 -0.09804
20.83333333 -0.09514
20.91666667 -0.09143
21.00000000 -0.08695
21.08333333 -0.08175
21.16666667 -0.07587
21.25000000 -0.06938
21.33333333 -0.06233
21.41666667 -0.05506
21.50000000 -0.04795
21.58333333 -0.04079
21.66666667 -0.03333
21.75000000 -0.02566
21.83333333 -0.01840
21.91666667 -0.01126
