time(hour)	isotherm(m)
0.00000000 13.31042
0.08333333 13.26409
0.16666667 13.31091
0.25000000 13.31091
0.33333333 13.31091
0.41666667 13.36381
0.50000000 13.46131
0.58333333 13.46890
0.66666667 13.51116
0.75000000 13.55014
0.83333333 13.59788
0.91666667 13.66164
1.00000000 13.64596
1.08333333 13.66255
1.16666667 13.64864
1.25000000 13.66340
1.33333333 13.67607
1.41666667 13.69960
1.50000000 13.69960
1.58333333 13.72165
1.66666667 13.72165
1.75000000 13.75613
1.83333333 13.72165
1.91666667 13.72938
2.00000000 13.71728
2.08333333 13.71728
2.16666667 13.71728
2.25000000 13.69704
2.33333333 13.67556
2.41666667 13.69960
2.50000000 13.71288
2.58333333 13.73521
2.66666667 13.76496
2.75000000 13.78150
2.83333333 13.82086
2.91666667 13.84095
3.00000000 13.80297
3.08333333 13.78627
3.16666667 13.74952
3.25000000 13.76496
3.33333333 13.75844
3.41666667 13.79498
3.50000000 13.77601
3.58333333 13.69113
3.66666667 13.69113
3.75000000 13.64864
3.83333333 13.60624
3.91666667 13.58440
4.00000000 13.56556
4.08333333 13.54906
4.16666667 13.49616
4.25000000 13.49616
4.33333333 13.49616
4.41666667 13.49076
4.50000000 13.46957
4.58333333 13.49616
4.66666667 13.49616
4.75000000 13.49616
4.83333333 13.49616
4.91666667 13.46957
5.00000000 13.46957
5.08333333 13.41107
5.16666667 13.34628
5.25000000 13.34628
5.33333333 13.34628
5.41666667 13.30850
5.50000000 13.30820
5.58333333 13.30850
5.66666667 13.30850
5.75000000 13.26686
5.83333333 13.26553
5.91666667 13.26553
6.00000000 13.30956
6.08333333 13.30997
6.16666667 13.31091
6.25000000 13.31146
6.33333333 13.36700
6.41666667 13.46890
6.50000000 13.45430
6.58333333 13.51330
6.66666667 13.59272
6.75000000 13.60864
6.83333333 13.61379
6.91666667 13.64443
7.00000000 13.67514
7.08333333 13.68349
7.16666667 13.65757
7.25000000 13.66543
7.33333333 13.72938
7.41666667 13.78627
7.50000000 13.82086
7.58333333 13.86019
7.66666667 13.86019
7.75000000 13.86019
7.83333333 13.86019
7.91666667 13.86053
8.00000000 13.88284
8.08333333 13.86053
8.16666667 13.88061
8.25000000 13.89926
8.33333333 13.88061
8.41666667 13.90283
8.50000000 13.88061
8.58333333 13.87891
8.66666667 13.84172
8.75000000 13.82299
8.83333333 13.82299
8.91666667 13.84007
9.00000000 13.84007
9.08333333 13.86019
9.16666667 13.84007
9.25000000 13.84007
9.33333333 13.88284
9.41666667 13.88284
9.50000000 13.88544
9.58333333 13.83760
9.66666667 13.83882
9.75000000 13.83882
9.83333333 13.79927
9.91666667 13.80297
10.00000000 13.72938
10.08333333 13.70571
10.16666667 13.69489
10.25000000 13.70301
10.33333333 13.69489
10.41666667 13.68572
10.50000000 13.67514
10.58333333 13.65553
10.66666667 13.64643
10.75000000 13.63787
10.83333333 13.61814
10.91666667 13.62642
11.00000000 13.61379
11.08333333 13.61379
11.16666667 13.60531
11.25000000 13.57546
11.33333333 13.55233
