time(hour)	isotherm(m)
0.00000000 0.00339
0.08333333 0.01010
0.16666667 0.01667
0.25000000 0.02303
0.33333333 0.02912
0.41666667 0.03486
0.50000000 0.04009
0.58333333 0.04473
0.66666667 0.04882
0.75000000 0.05205
0.83333333 0.05408
0.91666667 0.05486
1.00000000 0.05408
1.08333333 0.05216
1.16666667 0.04946
1.25000000 0.04575
1.33333333 0.04144
1.41666667 0.03603
1.50000000 0.02894
1.58333333 0.02104
1.66666667 0.01304
1.75000000 0.00499
1.83333333 -0.00302
1.91666667 -0.01094
2.00000000 -0.01805
2.08333333 -0.02431
2.16666667 -0.03031
2.25000000 -0.03520
2.33333333 -0.03845
2.41666667 -0.04134
2.50000000 -0.04386
2.58333333 -0.04509
2.66666667 -0.04490
2.75000000 -0.04396
2.83333333 -0.04266
2.91666667 -0.04101
3.00000000 -0.03968
3.08333333 -0.03842
3.16666667 -0.03740
3.25000000 -0.03665
3.33333333 -0.03560
3.41666667 -0.03461
3.50000000 -0.03368
3.58333333 -0.03249
3.66666667 -0.03126
3.75000000 -0.03002
3.83333333 -0.02853
3.91666667 -0.02683
4.00000000 -0.02415
4.08333333 -0.02054
4.16666667 -0.01670
4.25000000 -0.01276
4.33333333 -0.00911
4.41666667 -0.00594
4.50000000 -0.00249
4.58333333 0.00122
4.66666667 0.00497
4.75000000 0.00929
4.83333333 0.01341
4.91666667 0.01700
5.00000000 0.02050
5.08333333 0.02418
5.16666667 0.02791
5.25000000 0.03205
5.33333333 0.03672
5.41666667 0.04156
5.50000000 0.04647
5.58333333 0.05112
5.66666667 0.05541
5.75000000 0.05925
5.83333333 0.06272
5.91666667 0.06575
6.00000000 0.06820
6.08333333 0.07009
6.16666667 0.07141
6.25000000 0.07209
6.33333333 0.07220
6.41666667 0.07176
6.50000000 0.07073
6.58333333 0.06908
6.66666667 0.06688
6.75000000 0.06420
6.83333333 0.06107
6.91666667 0.05754
7.00000000 0.05360
7.08333333 0.04922
7.16666667 0.04446
7.25000000 0.03941
7.33333333 0.03409
7.41666667 0.02838
7.50000000 0.02228
7.58333333 0.01603
7.66666667 0.00972
7.75000000 0.00339
7.83333333 -0.00307
7.91666667 -0.00985
8.00000000 -0.01685
8.08333333 -0.02382
8.16666667 -0.03075
8.25000000 -0.03761
8.33333333 -0.04418
8.41666667 -0.05033
8.50000000 -0.05600
8.58333333 -0.06126
8.66666667 -0.06595
8.75000000 -0.07006
8.83333333 -0.07364
8.91666667 -0.07648
9.00000000 -0.07854
9.08333333 -0.07994
9.16666667 -0.08083
9.25000000 -0.08095
9.33333333 -0.08012
9.41666667 -0.07863
9.50000000 -0.07650
9.58333333 -0.07375
9.66666667 -0.07050
9.75000000 -0.06701
9.83333333 -0.06321
9.91666667 -0.05893
10.00000000 -0.05419
10.08333333 -0.04882
10.16666667 -0.04269
10.25000000 -0.03655
10.33333333 -0.03075
10.41666667 -0.02486
10.50000000 -0.01912
10.58333333 -0.01377
10.66666667 -0.00876
10.75000000 -0.00422
10.83333333 -0.00011
10.91666667 0.00409
11.00000000 0.00821
11.08333333 0.01197
11.16666667 0.01585
11.25000000 0.02004
11.33333333 0.02402
11.41666667 0.02796
11.50000000 0.03247
11.58333333 0.03709
11.66666667 0.04147
11.75000000 0.04568
11.83333333 0.04957
11.91666667 0.05280
12.00000000 0.05508
12.08333333 0.05685
12.16666667 0.05857
12.25000000 0.06013
12.33333333 0.06141
12.41666667 0.06242
12.50000000 0.06291
12.58333333 0.06274
12.66666667 0.06211
12.75000000 0.06116
12.83333333 0.05976
12.91666667 0.05788
13.00000000 0.05565
13.08333333 0.05316
13.16666667 0.05048
13.25000000 0.04741
13.33333333 0.04406
13.41666667 0.04062
13.50000000 0.03700
13.58333333 0.03309
13.66666667 0.02895
13.75000000 0.02419
13.83333333 0.01886
13.91666667 0.01347
14.00000000 0.00808
14.08333333 0.00268
14.16666667 -0.00270
14.25000000 -0.00807
14.33333333 -0.01344
14.41666667 -0.01880
14.50000000 -0.02396
14.58333333 -0.02881
14.66666667 -0.03332
14.75000000 -0.03740
14.83333333 -0.04108
14.91666667 -0.04433
15.00000000 -0.04721
15.08333333 -0.04965
15.16666667 -0.05149
15.25000000 -0.05268
15.33333333 -0.05327
15.41666667 -0.05338
15.50000000 -0.05305
15.58333333 -0.05231
15.66666667 -0.05129
15.75000000 -0.05002
15.83333333 -0.04845
15.91666667 -0.04657
16.00000000 -0.04448
16.08333333 -0.04210
16.16666667 -0.03932
16.25000000 -0.03630
16.33333333 -0.03306
16.41666667 -0.02958
16.50000000 -0.02594
16.58333333 -0.02219
16.66666667 -0.01835
16.75000000 -0.01453
16.83333333 -0.01062
