time(hour)	isotherm(m)
0.00000000 13.80012
0.08333333 13.82528
0.16666667 13.87054
0.25000000 13.87258
0.33333333 13.87437
0.41666667 13.82813
0.50000000 13.73493
0.58333333 13.72428
0.66666667 13.70775
0.75000000 13.66298
0.83333333 13.61736
0.91666667 13.61654
1.00000000 13.58783
1.08333333 13.58783
1.16666667 13.56895
1.25000000 13.57918
1.33333333 13.59309
1.41666667 13.60218
1.50000000 13.59790
1.58333333 13.57104
1.66666667 13.54254
1.75000000 13.51224
1.83333333 13.49635
1.91666667 13.47995
2.00000000 13.46570
2.08333333 13.44793
2.16666667 13.44793
2.25000000 13.45046
2.33333333 13.41469
2.41666667 13.37202
2.50000000 13.35140
2.58333333 13.30512
2.66666667 13.30523
2.75000000 13.30512
2.83333333 13.32996
2.91666667 13.37477
3.00000000 13.39431
3.08333333 13.39431
3.16666667 13.43179
3.25000000 13.45046
3.33333333 13.46848
3.41666667 13.48590
3.50000000 13.50274
3.58333333 13.51903
3.66666667 13.53479
3.75000000 13.55006
3.83333333 13.53479
3.91666667 13.51903
4.00000000 13.50609
4.08333333 13.48903
4.16666667 13.47435
4.25000000 13.47137
4.33333333 13.48903
4.41666667 13.50274
4.50000000 13.50609
4.58333333 13.52259
4.66666667 13.52627
4.75000000 13.52627
4.83333333 13.50609
4.91666667 13.50609
5.00000000 13.49226
5.08333333 13.51314
5.16666667 13.49560
5.25000000 13.53811
5.33333333 13.52470
5.41666667 13.56084
5.50000000 13.54701
5.58333333 13.57665
5.66666667 13.57665
5.75000000 13.58235
5.83333333 13.62078
5.91666667 13.62078
6.00000000 13.60104
6.08333333 13.60788
6.16666667 13.60788
6.25000000 13.62078
6.33333333 13.61496
6.41666667 13.61496
6.50000000 13.61496
6.58333333 13.60788
6.66666667 13.61496
6.75000000 13.60076
6.83333333 13.59260
6.91666667 13.54857
7.00000000 13.52689
7.08333333 13.48498
7.16666667 13.52029
7.25000000 13.55580
7.33333333 13.58305
7.41666667 13.54857
7.50000000 13.50811
7.58333333 13.51399
7.66666667 13.48498
7.75000000 13.45389
7.83333333 13.44940
7.91666667 13.39955
8.00000000 13.42107
8.08333333 13.39247
8.16666667 13.38830
8.25000000 13.36068
8.33333333 13.33411
8.41666667 13.36068
8.50000000 13.33411
8.58333333 13.30583
8.66666667 13.30597
8.75000000 13.30583
8.83333333 13.30583
8.91666667 13.30597
9.00000000 13.33411
9.08333333 13.33411
9.16666667 13.33411
9.25000000 13.33493
9.33333333 13.33493
9.41666667 13.33493
9.50000000 13.30612
9.58333333 13.30612
9.66666667 13.30597
9.75000000 13.30570
9.83333333 13.30570
9.91666667 13.25637
10.00000000 13.20593
10.08333333 13.21069
10.16666667 13.13603
10.25000000 13.13603
10.33333333 13.13603
10.41666667 13.17371
10.50000000 13.17371
10.58333333 13.26076
10.66666667 13.30523
10.75000000 13.30512
10.83333333 13.30512
10.91666667 13.30523
11.00000000 13.32936
11.08333333 13.32936
11.16666667 13.30523
11.25000000 13.26265
11.33333333 13.30523
11.41666667 13.26592
11.50000000 13.22566
11.58333333 13.18430
11.66666667 13.18430
11.75000000 13.14924
11.83333333 13.14924
11.91666667 13.19330
12.00000000 13.19725
12.08333333 13.19725
12.16666667 13.18898
12.25000000 13.11685
12.33333333 13.08653
12.41666667 13.05867
12.50000000 13.10142
12.58333333 13.13008
12.66666667 13.13008
12.75000000 13.10805
12.83333333 13.11431
12.91666667 13.07238
13.00000000 13.07896
13.08333333 13.10164
13.16666667 13.12017
13.25000000 13.17020
13.33333333 13.23397
13.41666667 13.34071
13.50000000 13.34071
13.58333333 13.34071
13.66666667 13.30716
13.75000000 13.27205
13.83333333 13.30677
13.91666667 13.26988
14.00000000 13.19725
14.08333333 13.15510
14.16666667 13.14924
14.25000000 13.14924
14.33333333 13.22239
14.41666667 13.22566
